表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,D,D,310101,經濟學系博士班,17,10,7,1,3,5,1,2,1,2,2,,,,,,,,
97,0008,國立中央大學,D,D,520101,電機工程學系博士班,139,130,9,18,1,24,,22,2,25,3,22,2,12,,7,1,,
97,0008,國立中央大學,D,D,520114,資訊工程學系博士班,129,122,7,22,1,26,3,13,,16,2,16,,16,,13,1,,
97,0008,國立中央大學,D,D,520126,通訊工程學系博士班,39,37,2,10,,9,1,7,,5,1,5,,1,,,,,
97,0008,國立中央大學,D,D,140805,網路學習科技研究所博士班,15,13,2,4,1,7,,2,1,,,,,,,,,,
97,0008,國立中央大學,D,D,440402,大氣物理研究所博士班,22,16,6,4,1,,1,1,1,4,1,3,1,2,1,2,,,
97,0008,國立中央大學,D,D,440209,地球物理研究所博士班,52,41,11,4,,5,2,5,4,7,,8,2,6,,6,3,,
97,0008,國立中央大學,D,D,440603,太空科學研究所博士班,38,31,7,8,1,5,,6,,2,2,2,2,5,1,3,1,,
97,0008,國立中央大學,D,D,440204,應用地質研究所博士班,2,0,2,,1,,,,,,1,,,,,,,,
97,0008,國立中央大學,D,D,440207,水文與海洋科學研究所博士班,4,4,0,3,,1,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,SUBT5,碩士產業研發專班           共計,40,37,3,8,2,19,1,8,0,2,0,0,0,0,0,0,0,0,0
97,0008,國立中央大學,D,M,529988,光電科學與工程學系光電產業研發碩士專班,6,6,0,,,,,6,,,,,,,,,,,
97,0008,國立中央大學,D,M,520188,光電科學與工程學系光電顯示產業研發碩士專班,16,16,0,,,16,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,529988,機械工程學系機電整合產業研發碩士專班,2,2,0,,,,,2,,,,,,,,,,,
97,0008,國立中央大學,D,M,520188,資訊工程學系嵌入式系統產業研發碩士專班,2,2,0,,,,,,,2,,,,,,,,,
97,0008,國立中央大學,D,M,520188,資電學院嵌入式系統產業研發碩士外國學生專班,10,8,2,8,2,,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,520188,電機工程學系電子產業研發碩士專班,4,3,1,,,3,1,,,,,,,,,,,,
