表4-1  科系別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,D,博士班,221101,    哲學研究所博士班,46,24,22,1,4,1,3,6,2,3,3,3,2,2,5,8,3,0,0,0,0
103,8,國立中央大學,D,博士班,140111,    學習與教學研究所博士班,25,13,12,2,4,2,1,2,2,3,1,2,2,1,0,1,2,0,0,0,0
103,8,國立中央大學,D,博士班,460101,    數學系博士班,16,13,3,3,0,1,0,2,0,5,1,0,1,1,0,1,1,0,0,0,0
103,8,國立中央大學,D,博士班,440301,    物理學系博士班,50,41,9,8,2,9,1,6,3,8,1,4,1,2,0,4,1,0,0,0,0
103,8,國立中央大學,D,博士班,440101,    化學學系博士班,31,25,6,3,3,5,0,3,0,4,2,6,0,3,1,1,0,0,0,0,0
103,8,國立中央大學,D,博士班,460201,    統計研究所博士班,4,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
103,8,國立中央大學,D,博士班,520106,    光電科學與工程學系博士班,47,44,3,10,1,6,0,3,0,8,0,7,0,4,1,6,1,0,0,0,0
103,8,國立中央大學,D,博士班,440601,    天文研究所博士班,18,13,5,1,1,2,0,1,1,1,0,1,1,2,0,5,2,0,0,0,0
103,8,國立中央大學,D,博士班,440301,    物理學系生物物理博士班,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,博士班,520301,    土木工程學系博士班,47,40,7,4,2,4,1,8,0,9,2,3,0,5,0,5,2,0,0,2,0
103,8,國立中央大學,D,博士班,520201,    機械工程學系博士班,80,79,1,13,0,7,0,10,0,14,1,8,0,10,0,16,0,0,0,1,0
103,8,國立中央大學,D,博士班,520403,    化學工程與材料工程學系博士班,34,28,6,8,1,5,1,5,1,6,3,1,0,1,0,2,0,0,0,0,0
103,8,國立中央大學,D,博士班,349927,    營建管理研究所博士班,21,16,5,3,1,3,1,2,0,1,2,2,1,2,0,3,0,0,0,0,0
103,8,國立中央大學,D,博士班,520901,    環境工程研究所博士班,10,8,2,2,0,2,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0
103,8,國立中央大學,D,博士班,520201,    機械工程學系光機電工程博士班,8,8,0,1,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0
103,8,國立中央大學,D,博士班,521309,    能源工程研究所博士班,7,5,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,博士班,520502,    材料科學與工程研究所博士班,19,17,2,3,0,6,0,3,1,3,1,1,0,1,0,0,0,0,0,0,0
103,8,國立中央大學,D,博士班,340301,    企業管理學系博士班,119,75,44,17,11,15,5,13,7,6,6,8,5,6,5,10,5,0,0,0,0
103,8,國立中央大學,D,博士班,480109,    資訊管理學系博士班,36,29,7,2,2,1,0,2,0,3,1,4,2,7,2,9,0,0,0,1,0
103,8,國立中央大學,D,博士班,310104,    產業經濟研究所博士班,12,6,6,0,0,0,0,2,1,0,0,0,1,2,0,2,4,0,0,0,0
103,8,國立中央大學,D,博士班,349906,    工業管理研究所博士班,13,12,1,1,1,2,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0
103,8,國立中央大學,D,博士班,349919,    人力資源管理研究所博士班,10,4,6,2,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0
103,8,國立中央大學,D,博士班,340501,    財務金融學系博士班,14,10,4,2,0,1,0,2,0,0,0,2,4,1,0,2,0,0,0,0,0
103,8,國立中央大學,D,博士班,310101,    經濟學系博士班,9,4,5,0,0,1,0,0,0,0,0,1,2,2,1,0,1,0,0,0,1
103,8,國立中央大學,D,博士班,520101,    電機工程學系博士班,99,91,8,8,4,14,0,11,1,11,1,20,0,13,1,14,1,0,0,0,0
103,8,國立中央大學,D,博士班,520114,    資訊工程學系博士班,97,82,15,13,4,10,3,14,4,12,0,9,1,12,2,12,1,0,0,0,0
103,8,國立中央大學,D,博士班,520126,    通訊工程學系博士班,30,26,4,3,2,1,0,4,0,4,0,4,1,5,0,5,1,0,0,0,0
