表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,本表以981015資料為準，同報教育部統計資料,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
98,0008,國立中央大學,D,M,520901,    環境工程研究所碩士班,65,38,27,12,15,15,10,11,2,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520229,    光機電工程研究所碩士班,46,45,1,20,1,21,0,4,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,521309,    能源工程研究所碩士班,38,33,5,15,4,14,1,3,0,1,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,31,25,6,11,4,13,2,1,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,521108,    生物醫學工程研究所碩士班,20,18,2,9,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,340301,    企業管理學系碩士班,132,70,62,28,34,36,24,5,4,1,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,480109,    資訊管理學系碩士班,102,70,32,34,17,33,14,3,1,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,310104,    產業經濟研究所碩士班,55,21,34,6,17,12,13,1,3,2,1,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,349906,    工業管理研究所碩士班,64,42,22,20,12,21,10,0,0,1,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,55,14,41,8,17,4,23,2,1,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,340501,    財務金融學系碩士班,58,28,30,9,18,16,12,3,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,310101,    經濟學系碩士班,26,12,14,4,8,7,6,1,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,340201,    會計研究所碩士班,17,8,9,3,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520101,    電機工程學系碩士班,263,237,26,101,13,102,8,30,5,4,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520114,    資訊工程學系碩士班,212,183,29,91,14,79,14,10,1,3,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520126,    通訊工程學系碩士班,96,74,22,45,8,29,14,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,140805,    網路學習科技研究所碩士班,36,20,16,8,11,11,5,1,0,0,0,0,0,0,0,0,0,0,0
